County,Poverty Rate
Chambers,9.5
Hardin,12.7
Orange,13.7
Smith,15.6
Van Zandt,13.1
Panola,15
Rusk,15.2
Upshur,16.4
Harrison,17.3
Liberty,15.5
Rains,17
Wood,15.2
Gregg,16.5
Hopkins,13.7
Titus,16.3
Angelina,20
Jefferson,18.6
Bowie,15.9
Henderson,17.2
Tyler,19.6
Cherokee,17.2
Franklin,14.8
San Jacinto,18.2
Polk,18
Delta,17.5
Anderson,18.8
Lamar,16.2
Jasper,20
Camp,20.3
Nacogdoches,23.9
Walker,23.1
Cass,19
Morris,18.4
Newton,20.9
Shelby,20.8
Trinity,21
Marion,22.8
Red River,19.5
Sabine,20.2
Houston,22.3
San Augustine,21.6
United States,13.7
Texas ,14.7
